,X,Y,Z,W,Q,T,time,experiment
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1,1.0,0.0,1.0,0.0,1.0,0.0,0.013309753716651218,1
2,1.0,0.0,1.0,0.0,1.0,1.0,0.5254003783950923,1
3,1.0,0.0,1.0,1.0,1.0,1.0,0.7401858596958578,1
4,1.0,1.0,1.0,1.0,1.0,1.0,1.1071183803673856,1
5,1.0,1.0,1.0,0.0,1.0,1.0,1.5945035659162463,1
6,1.0,1.0,1.0,0.0,1.0,0.0,1.632139363478503,1
7,1.0,1.0,1.0,0.0,1.0,1.0,3.202195609097157,1
8,1.0,1.0,1.0,0.0,1.0,0.0,3.425640545183278,1
9,1.0,0.0,1.0,0.0,1.0,0.0,3.7512372342476876,1
10,1.0,1.0,1.0,0.0,1.0,0.0,3.8819031486929907,1
11,1.0,0.0,1.0,0.0,1.0,0.0,3.889715445831586,1
12,1.0,0.0,1.0,0.0,1.0,1.0,3.9104213511824084,1
13,1.0,0.0,1.0,1.0,1.0,1.0,3.9477013654131494,1
14,1.0,0.0,1.0,1.0,0.0,1.0,4.197318042221933,1
15,1.0,0.0,1.0,1.0,0.0,0.0,4.76371490027981,1
16,1.0,0.0,0.0,1.0,0.0,0.0,5.380433314083101,1
17,1.0,0.0,0.0,1.0,0.0,1.0,5.408861226751691,1
18,1.0,0.0,1.0,1.0,0.0,1.0,5.440804158053896,1
19,1.0,0.0,1.0,1.0,0.0,0.0,5.542667028993058,1
20,1.0,0.0,1.0,0.0,0.0,0.0,5.699989327718475,1
21,0.0,0.0,1.0,0.0,0.0,0.0,5.758898487236886,1
22,0.0,0.0,1.0,1.0,0.0,0.0,6.66966556414396,1
23,0.0,0.0,1.0,1.0,0.0,1.0,6.67669199074503,1
24,1.0,0.0,1.0,1.0,0.0,1.0,7.280190436403259,1
25,1.0,0.0,0.0,1.0,0.0,1.0,7.680213140158063,1
26,1.0,1.0,0.0,1.0,0.0,1.0,7.89460488946509,1
27,1.0,1.0,0.0,0.0,0.0,1.0,7.987426314577977,1
28,1.0,1.0,0.0,1.0,0.0,1.0,8.229742071615888,1
29,0.0,1.0,0.0,1.0,0.0,1.0,8.89982497489219,1
30,0.0,1.0,0.0,0.0,0.0,1.0,9.315086095806757,1
31,0.0,1.0,0.0,0.0,1.0,1.0,9.47843682532945,1
32,0.0,1.0,0.0,0.0,0.0,1.0,9.604632199622904,1
33,1.0,1.0,0.0,0.0,0.0,1.0,10.91202715492389,1
34,1.0,1.0,1.0,0.0,0.0,1.0,10.942262087023265,1
35,1.0,1.0,1.0,0.0,0.0,0.0,11.300330824385362,1
36,1.0,0.0,1.0,0.0,0.0,0.0,11.866733479817743,1
37,1.0,0.0,0.0,0.0,0.0,0.0,11.874022246967288,1
38,1.0,1.0,0.0,0.0,0.0,0.0,12.036170310943774,1
39,1.0,1.0,0.0,0.0,1.0,0.0,12.25435073132664,1
40,1.0,1.0,0.0,0.0,0.0,0.0,12.391415697947675,1
41,1.0,1.0,0.0,1.0,0.0,0.0,13.496173856649289,1
42,1.0,1.0,0.0,1.0,1.0,0.0,13.860967650243225,1
43,1.0,1.0,0.0,1.0,1.0,1.0,14.823956802222549,1
44,1.0,0.0,0.0,1.0,1.0,1.0,15.578271488512831,1
45,1.0,0.0,0.0,1.0,0.0,1.0,15.64268406021385,1
46,1.0,0.0,0.0,1.0,0.0,0.0,15.82635823531826,1
47,1.0,0.0,0.0,0.0,0.0,0.0,16.142306013576892,1
48,0.0,0.0,0.0,0.0,0.0,0.0,16.143902478658852,1
49,0.0,0.0,1.0,0.0,0.0,0.0,17.188650381115465,1
50,0.0,0.0,0.0,0.0,0.0,0.0,17.35405713042652,1
51,0.0,0.0,0.0,0.0,0.0,1.0,17.433029916549955,1
52,0.0,1.0,0.0,0.0,0.0,1.0,17.710587217979587,1
53,0.0,0.0,0.0,0.0,0.0,1.0,18.180798328233376,1
54,0.0,0.0,0.0,0.0,0.0,0.0,18.73803747679986,1
55,0.0,0.0,0.0,0.0,0.0,1.0,19.05125168803627,1
56,0.0,0.0,0.0,1.0,0.0,1.0,19.07216896420745,1
57,0.0,0.0,0.0,1.0,1.0,1.0,19.136258987798993,1
58,0.0,0.0,0.0,1.0,0.0,1.0,19.265110914061545,1
59,0.0,0.0,0.0,0.0,0.0,1.0,19.363710620379955,1
60,0.0,0.0,1.0,0.0,0.0,1.0,19.61545739736207,1
61,0.0,0.0,0.0,0.0,0.0,1.0,19.83194487302037,1
62,0.0,0.0,0.0,0.0,1.0,1.0,20.52834834060238,1
63,0.0,0.0,1.0,0.0,1.0,1.0,20.555491586075203,1
64,0.0,0.0,1.0,0.0,0.0,1.0,21.414969793853274,1
65,0.0,0.0,0.0,0.0,0.0,1.0,22.852313478702484,1
66,0.0,0.0,0.0,0.0,1.0,1.0,22.907237795502954,1
67,0.0,0.0,0.0,0.0,1.0,0.0,23.266956188651882,1
68,1.0,0.0,0.0,0.0,1.0,0.0,23.26777741437996,1
69,1.0,0.0,0.0,0.0,0.0,0.0,23.59670162126527,1
70,1.0,0.0,1.0,0.0,0.0,0.0,24.5993315933126,1
71,1.0,0.0,1.0,1.0,0.0,0.0,25.131791017006545,1
72,1.0,0.0,1.0,0.0,0.0,0.0,25.624647814609098,1
73,0.0,0.0,1.0,0.0,0.0,0.0,26.161355519840495,1
74,1.0,0.0,1.0,0.0,0.0,0.0,26.637724264018285,1
75,1.0,1.0,1.0,0.0,0.0,0.0,27.100103212869072,1
76,1.0,1.0,1.0,1.0,0.0,0.0,27.4928697299377,1
77,0.0,1.0,1.0,1.0,0.0,0.0,28.342101679764294,1
78,0.0,0.0,1.0,1.0,0.0,0.0,28.42677013018591,1
79,0.0,0.0,1.0,1.0,0.0,1.0,29.02116873655156,1
80,0.0,1.0,1.0,1.0,0.0,1.0,29.44051322746449,1
81,1.0,1.0,1.0,1.0,0.0,1.0,30.584918030674295,1
82,1.0,1.0,0.0,1.0,0.0,1.0,30.77175760571458,1
83,0.0,1.0,0.0,1.0,0.0,1.0,30.997716349272686,1
84,0.0,1.0,0.0,1.0,1.0,1.0,31.02107299579848,1
85,0.0,1.0,0.0,0.0,1.0,1.0,31.436408955823747,1
86,0.0,1.0,0.0,0.0,1.0,0.0,31.48475986064672,1
87,1.0,1.0,0.0,0.0,1.0,0.0,31.554232446738805,1
88,0.0,1.0,0.0,0.0,1.0,0.0,31.5668657817296,1
89,0.0,1.0,0.0,1.0,1.0,0.0,31.67978254356932,1
90,1.0,1.0,0.0,1.0,1.0,0.0,31.747723833196794,1
91,1.0,1.0,0.0,1.0,1.0,1.0,31.993028435015184,1
92,1.0,0.0,0.0,1.0,1.0,1.0,32.42518854432662,1
93,1.0,0.0,1.0,1.0,1.0,1.0,32.9696288953064,1
94,1.0,0.0,1.0,0.0,1.0,1.0,33.210023929971726,1
95,1.0,1.0,1.0,0.0,1.0,1.0,34.39806392370732,1
96,1.0,1.0,0.0,0.0,1.0,1.0,34.72247456931206,1
97,0.0,1.0,0.0,0.0,1.0,1.0,34.820881922085526,1
98,0.0,1.0,0.0,0.0,0.0,1.0,34.948063549320636,1
99,0.0,1.0,1.0,0.0,0.0,1.0,35.45169633738137,1
100,0.0,1.0,1.0,0.0,0.0,0.0,35.88379796312405,1
101,0.0,1.0,0.0,0.0,0.0,0.0,36.77480345342725,1
102,1.0,1.0,0.0,0.0,0.0,0.0,36.96065962237458,1
103,1.0,1.0,0.0,1.0,0.0,0.0,37.6107941480125,1
104,1.0,1.0,0.0,1.0,0.0,1.0,38.02951683205305,1
105,0.0,1.0,0.0,1.0,0.0,1.0,39.38507846183742,1
106,0.0,1.0,0.0,0.0,0.0,1.0,40.343513289528005,1
107,0.0,1.0,0.0,0.0,0.0,0.0,40.56623413329674,1
108,0.0,0.0,0.0,0.0,0.0,0.0,41.343010898092764,1
109,0.0,0.0,0.0,0.0,1.0,0.0,41.493620641459195,1
110,0.0,0.0,0.0,0.0,0.0,0.0,42.42244271204559,1
111,0.0,0.0,0.0,0.0,0.0,1.0,42.55246197942967,1
112,1.0,0.0,0.0,0.0,0.0,1.0,42.77604970770854,1
113,1.0,1.0,0.0,0.0,0.0,1.0,42.910059371399,1
114,1.0,1.0,0.0,0.0,1.0,1.0,43.63387282530754,1
115,1.0,1.0,0.0,0.0,1.0,0.0,43.674554238629725,1
116,1.0,1.0,0.0,0.0,0.0,0.0,44.09264671785312,1
117,1.0,1.0,0.0,0.0,0.0,1.0,44.577506935249836,1
118,0.0,1.0,0.0,0.0,0.0,1.0,45.289614411445946,1
119,0.0,1.0,1.0,0.0,0.0,1.0,45.80329404766835,1
120,0.0,1.0,1.0,0.0,0.0,0.0,45.806030238746914,1
121,1.0,1.0,1.0,0.0,0.0,0.0,46.7873929977136,1
122,1.0,1.0,1.0,0.0,0.0,1.0,47.756121148177456,1
123,1.0,1.0,1.0,0.0,0.0,0.0,47.832975958170046,1
124,1.0,1.0,1.0,1.0,0.0,0.0,47.84066511496219,1
125,1.0,1.0,0.0,1.0,0.0,0.0,48.012159943102304,1
126,1.0,1.0,0.0,1.0,1.0,0.0,48.729152657444075,1
127,1.0,0.0,0.0,1.0,1.0,0.0,49.39330732650923,1
128,1.0,0.0,1.0,1.0,1.0,0.0,50.01827865549683,1
0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2
1,0.0,1.0,0.0,1.0,1.0,1.0,1.1265209371738099,2
2,0.0,1.0,1.0,1.0,1.0,1.0,1.6031205859780424,2
3,0.0,1.0,1.0,1.0,0.0,1.0,2.05716548099878,2
4,0.0,0.0,1.0,1.0,0.0,1.0,2.410718224128026,2
5,0.0,0.0,1.0,0.0,0.0,1.0,2.4581262376436017,2
6,0.0,0.0,1.0,0.0,0.0,0.0,2.4956748453368887,2
7,0.0,0.0,0.0,0.0,0.0,0.0,2.860979503479719,2
8,0.0,0.0,0.0,1.0,0.0,0.0,3.1054893241065153,2
9,0.0,0.0,0.0,0.0,0.0,0.0,3.291891018892284,2
10,1.0,0.0,0.0,0.0,0.0,0.0,3.4603805487565613,2
11,1.0,0.0,0.0,0.0,0.0,1.0,3.598718905334198,2
12,1.0,0.0,0.0,0.0,1.0,1.0,4.405414849082067,2
13,1.0,1.0,0.0,0.0,1.0,1.0,4.7404539671833845,2
14,1.0,1.0,0.0,0.0,0.0,1.0,4.837121467295161,2
15,1.0,1.0,0.0,0.0,1.0,1.0,5.3102152926165465,2
16,1.0,0.0,0.0,0.0,1.0,1.0,5.601031518630566,2
17,1.0,1.0,0.0,0.0,1.0,1.0,6.049125359446237,2
18,1.0,1.0,1.0,0.0,1.0,1.0,6.746534504918056,2
19,1.0,1.0,1.0,1.0,1.0,1.0,7.013259614885643,2
20,1.0,1.0,1.0,1.0,1.0,0.0,7.358530097771661,2
21,0.0,1.0,1.0,1.0,1.0,0.0,7.452245074622897,2
22,0.0,1.0,1.0,0.0,1.0,0.0,7.773069280492454,2
23,0.0,0.0,1.0,0.0,1.0,0.0,8.801623458679016,2
24,0.0,0.0,1.0,1.0,1.0,0.0,8.846328538246246,2
25,0.0,0.0,1.0,1.0,0.0,0.0,8.91665385921596,2
26,0.0,0.0,1.0,0.0,0.0,0.0,9.016640849064363,2
27,0.0,0.0,0.0,0.0,0.0,0.0,9.11598196036779,2
28,0.0,0.0,1.0,0.0,0.0,0.0,9.256475418390316,2
29,1.0,0.0,1.0,0.0,0.0,0.0,9.736439287343703,2
30,0.0,0.0,1.0,0.0,0.0,0.0,10.06328894181112,2
31,0.0,0.0,1.0,0.0,1.0,0.0,10.862723722434168,2
32,0.0,0.0,1.0,0.0,0.0,0.0,11.4702589298258,2
33,1.0,0.0,1.0,0.0,0.0,0.0,11.56628188070867,2
34,0.0,0.0,1.0,0.0,0.0,0.0,12.342378750298302,2
35,0.0,0.0,1.0,0.0,0.0,1.0,12.822054742165982,2
36,0.0,0.0,1.0,0.0,1.0,1.0,13.290480025036127,2
37,0.0,0.0,1.0,0.0,1.0,0.0,13.530340521999209,2
38,0.0,0.0,1.0,0.0,1.0,1.0,13.704858856119866,2
39,0.0,0.0,1.0,0.0,1.0,0.0,14.544631978002004,2
40,0.0,0.0,1.0,0.0,1.0,1.0,14.689220860720168,2
41,0.0,0.0,0.0,0.0,1.0,1.0,15.113052718264212,2
42,1.0,0.0,0.0,0.0,1.0,1.0,15.6447467176959,2
43,1.0,0.0,0.0,1.0,1.0,1.0,15.721911255193733,2
44,1.0,0.0,0.0,1.0,1.0,0.0,16.26673491416162,2
45,1.0,0.0,0.0,0.0,1.0,0.0,16.282133683333193,2
46,1.0,1.0,0.0,0.0,1.0,0.0,16.634476963148995,2
47,1.0,1.0,0.0,0.0,1.0,1.0,16.892920134513073,2
48,1.0,0.0,0.0,0.0,1.0,1.0,17.056433938720296,2
49,1.0,0.0,0.0,0.0,0.0,1.0,17.601310987633877,2
50,1.0,0.0,0.0,0.0,1.0,1.0,18.01893747495453,2
51,1.0,0.0,0.0,0.0,1.0,0.0,18.249944976394016,2
52,1.0,0.0,0.0,1.0,1.0,0.0,18.609333403848776,2
53,1.0,0.0,0.0,0.0,1.0,0.0,18.614393548105706,2
54,1.0,0.0,0.0,0.0,0.0,0.0,18.728827546384643,2
55,1.0,0.0,1.0,0.0,0.0,0.0,18.87683313616563,2
56,1.0,1.0,1.0,0.0,0.0,0.0,18.908487053891747,2
57,1.0,1.0,1.0,0.0,0.0,1.0,18.96723310551241,2
58,0.0,1.0,1.0,0.0,0.0,1.0,19.02569466076143,2
59,0.0,1.0,1.0,0.0,0.0,0.0,19.14198401366024,2
60,0.0,1.0,1.0,0.0,1.0,0.0,19.26404429976166,2
61,0.0,1.0,1.0,0.0,1.0,1.0,19.35640676504425,2
62,0.0,0.0,1.0,0.0,1.0,1.0,19.679112291395956,2
63,0.0,0.0,1.0,1.0,1.0,1.0,19.719124519441614,2
64,0.0,0.0,1.0,1.0,0.0,1.0,20.043754039329123,2
65,0.0,0.0,1.0,1.0,0.0,0.0,20.125058984635977,2
66,0.0,0.0,0.0,1.0,0.0,0.0,20.189474082826344,2
67,1.0,0.0,0.0,1.0,0.0,0.0,20.48505328662861,2
68,0.0,0.0,0.0,1.0,0.0,0.0,20.822165293709517,2
69,1.0,0.0,0.0,1.0,0.0,0.0,20.89736082580049,2
70,1.0,0.0,0.0,0.0,0.0,0.0,20.923496587428403,2
71,1.0,0.0,0.0,0.0,0.0,1.0,21.673572351772876,2
72,1.0,0.0,1.0,0.0,0.0,1.0,21.798522858383542,2
73,1.0,0.0,1.0,0.0,0.0,0.0,21.96906483981963,2
74,1.0,0.0,1.0,0.0,0.0,1.0,22.115020782798368,2
75,0.0,0.0,1.0,0.0,0.0,1.0,22.59127811001034,2
76,0.0,0.0,1.0,0.0,1.0,1.0,22.879350437501177,2
77,0.0,0.0,1.0,0.0,1.0,0.0,23.53566788795418,2
78,0.0,0.0,1.0,1.0,1.0,0.0,23.674874507205896,2
79,0.0,0.0,1.0,1.0,0.0,0.0,23.8287600129376,2
80,0.0,0.0,1.0,0.0,0.0,0.0,23.844526059091866,2
81,0.0,0.0,1.0,1.0,0.0,0.0,24.069381627725516,2
82,0.0,0.0,1.0,0.0,0.0,0.0,24.503686742766995,2
83,1.0,0.0,1.0,0.0,0.0,0.0,25.052051567165574,2
84,0.0,0.0,1.0,0.0,0.0,0.0,25.349623736899442,2
85,0.0,0.0,1.0,1.0,0.0,0.0,25.864508023385863,2
86,0.0,0.0,1.0,1.0,0.0,1.0,25.902553837457248,2
87,0.0,0.0,1.0,1.0,0.0,0.0,26.51341901732404,2
88,1.0,0.0,1.0,1.0,0.0,0.0,26.58172156463731,2
89,1.0,0.0,0.0,1.0,0.0,0.0,26.584113992547675,2
90,1.0,0.0,0.0,1.0,1.0,0.0,26.76112406836904,2
91,1.0,0.0,0.0,0.0,1.0,0.0,26.929745171530858,2
92,1.0,1.0,0.0,0.0,1.0,0.0,28.04934397331626,2
93,0.0,1.0,0.0,0.0,1.0,0.0,28.313457850797143,2
94,0.0,1.0,0.0,0.0,1.0,1.0,28.479994714123144,2
95,0.0,1.0,1.0,0.0,1.0,1.0,28.947461137426405,2
96,1.0,1.0,1.0,0.0,1.0,1.0,29.207599462363493,2
97,1.0,1.0,0.0,0.0,1.0,1.0,29.408748055804356,2
98,1.0,1.0,0.0,1.0,1.0,1.0,30.279964082753665,2
99,1.0,1.0,1.0,1.0,1.0,1.0,30.77059054905746,2
100,1.0,1.0,1.0,1.0,1.0,0.0,30.807846003799114,2
101,0.0,1.0,1.0,1.0,1.0,0.0,31.539783497679803,2
102,0.0,1.0,1.0,1.0,0.0,0.0,32.11490081979669,2
103,0.0,1.0,1.0,1.0,0.0,1.0,33.26059410933561,2
104,0.0,0.0,1.0,1.0,0.0,1.0,33.70768494661784,2
105,0.0,0.0,1.0,0.0,0.0,1.0,33.741795158975314,2
106,0.0,0.0,0.0,0.0,0.0,1.0,33.922955380288165,2
107,0.0,0.0,0.0,1.0,0.0,1.0,34.02072154255492,2
108,0.0,0.0,0.0,1.0,0.0,0.0,34.09047664860437,2
109,0.0,0.0,0.0,0.0,0.0,0.0,34.53576560059583,2
110,1.0,0.0,0.0,0.0,0.0,0.0,34.84313776422042,2
111,1.0,0.0,0.0,1.0,0.0,0.0,34.85502157800886,2
112,1.0,0.0,1.0,1.0,0.0,0.0,35.28841957850018,2
113,1.0,0.0,1.0,0.0,0.0,0.0,35.696741412886226,2
114,1.0,0.0,1.0,0.0,1.0,0.0,36.208334583753,2
115,1.0,0.0,1.0,0.0,0.0,0.0,36.31504503673926,2
116,0.0,0.0,1.0,0.0,0.0,0.0,36.32924150724483,2
117,0.0,0.0,1.0,0.0,1.0,0.0,36.37822126557357,2
118,0.0,0.0,1.0,1.0,1.0,0.0,36.538902593669086,2
119,0.0,0.0,1.0,1.0,0.0,0.0,36.74491081445481,2
120,1.0,0.0,1.0,1.0,0.0,0.0,36.99072826101138,2
121,1.0,0.0,0.0,1.0,0.0,0.0,37.532490475851375,2
122,1.0,0.0,0.0,1.0,1.0,0.0,37.964909277817654,2
123,1.0,0.0,0.0,1.0,0.0,0.0,38.233763055693935,2
124,1.0,0.0,0.0,1.0,1.0,0.0,38.2840285779274,2
125,1.0,0.0,0.0,0.0,1.0,0.0,38.481750867620484,2
126,0.0,0.0,0.0,0.0,1.0,0.0,39.3123759587472,2
127,0.0,0.0,1.0,0.0,1.0,0.0,39.40006194371998,2
128,0.0,0.0,1.0,1.0,1.0,0.0,39.47097737946547,2
129,0.0,0.0,1.0,1.0,1.0,1.0,39.52712126192533,2
130,0.0,0.0,0.0,1.0,1.0,1.0,39.78953943579577,2
131,0.0,0.0,0.0,1.0,0.0,1.0,39.80115409822177,2
132,0.0,0.0,0.0,1.0,0.0,0.0,39.99329124628263,2
133,0.0,0.0,0.0,0.0,0.0,0.0,40.016205289388836,2
134,0.0,0.0,0.0,0.0,1.0,0.0,40.212529992502674,2
135,1.0,0.0,0.0,0.0,1.0,0.0,40.580940399249826,2
136,1.0,0.0,0.0,1.0,1.0,0.0,40.604010376359504,2
137,0.0,0.0,0.0,1.0,1.0,0.0,41.968567543437565,2
138,0.0,0.0,0.0,0.0,1.0,0.0,42.253122970156205,2
139,0.0,0.0,0.0,0.0,1.0,1.0,42.65697170454384,2
140,0.0,0.0,0.0,1.0,1.0,1.0,42.67827738513599,2
141,0.0,0.0,0.0,1.0,1.0,0.0,43.18252907877486,2
142,0.0,0.0,1.0,1.0,1.0,0.0,43.34818235975291,2
143,0.0,0.0,1.0,1.0,0.0,0.0,43.71620169619323,2
144,0.0,0.0,1.0,1.0,0.0,1.0,43.7770868272774,2
145,0.0,0.0,1.0,0.0,0.0,1.0,44.59976614399695,2
146,0.0,0.0,1.0,0.0,0.0,0.0,45.49548278918833,2
147,0.0,0.0,1.0,1.0,0.0,0.0,45.747480361248876,2
148,0.0,0.0,1.0,1.0,0.0,1.0,46.04193230120189,2
149,0.0,0.0,1.0,0.0,0.0,1.0,46.05988861152571,2
150,0.0,0.0,1.0,0.0,1.0,1.0,46.3526260294303,2
151,0.0,0.0,1.0,0.0,1.0,0.0,46.41238753793519,2
152,1.0,0.0,1.0,0.0,1.0,0.0,46.4550332043168,2
153,1.0,1.0,1.0,0.0,1.0,0.0,47.10570739380303,2
154,1.0,1.0,0.0,0.0,1.0,0.0,47.27260509597441,2
155,0.0,1.0,0.0,0.0,1.0,0.0,47.555645214799775,2
156,0.0,1.0,0.0,0.0,1.0,1.0,47.60423038476815,2
157,1.0,1.0,0.0,0.0,1.0,1.0,48.035185948813144,2
158,1.0,1.0,1.0,0.0,1.0,1.0,48.481110872917505,2
159,0.0,1.0,1.0,0.0,1.0,1.0,48.994897019263256,2
160,0.0,0.0,1.0,0.0,1.0,1.0,49.07336415696016,2
161,0.0,0.0,0.0,0.0,1.0,1.0,49.098495729230095,2
162,0.0,0.0,0.0,1.0,1.0,1.0,49.39718476962358,2
163,0.0,0.0,0.0,0.0,1.0,1.0,49.55823366330007,2
164,0.0,0.0,1.0,0.0,1.0,1.0,50.442386739866855,2
0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3
1,0.0,1.0,0.0,0.0,1.0,0.0,0.07126927210449491,3
2,0.0,1.0,0.0,0.0,1.0,1.0,0.9537368181367163,3
3,0.0,1.0,0.0,0.0,1.0,0.0,1.1282248242188164,3
4,0.0,1.0,0.0,0.0,1.0,1.0,1.4249020255029374,3
5,0.0,1.0,0.0,1.0,1.0,1.0,1.6583356536900389,3
6,0.0,1.0,0.0,1.0,0.0,1.0,2.8536291251549843,3
7,0.0,1.0,0.0,1.0,0.0,0.0,3.0563002491523528,3
8,0.0,1.0,0.0,1.0,1.0,0.0,3.3626346403806844,3
9,0.0,1.0,0.0,1.0,1.0,1.0,4.060227958708099,3
10,0.0,1.0,1.0,1.0,1.0,1.0,4.602253085921564,3
11,0.0,0.0,1.0,1.0,1.0,1.0,4.782594701337571,3
12,1.0,0.0,1.0,1.0,1.0,1.0,4.787284218922362,3
13,1.0,0.0,1.0,1.0,1.0,0.0,4.987876950316175,3
14,1.0,0.0,1.0,1.0,0.0,0.0,5.040545508505779,3
15,0.0,0.0,1.0,1.0,0.0,0.0,5.462793664446527,3
16,1.0,0.0,1.0,1.0,0.0,0.0,5.606899067047924,3
17,1.0,1.0,1.0,1.0,0.0,0.0,6.139264171826853,3
18,1.0,1.0,1.0,1.0,0.0,1.0,6.390732782391972,3
19,0.0,1.0,1.0,1.0,0.0,1.0,7.712720924334375,3
20,0.0,1.0,1.0,1.0,0.0,0.0,8.62983705437186,3
21,0.0,1.0,1.0,0.0,0.0,0.0,8.892039675902543,3
22,0.0,1.0,1.0,1.0,0.0,0.0,9.616943785310513,3
23,1.0,1.0,1.0,1.0,0.0,0.0,10.070456584232684,3
24,1.0,1.0,1.0,0.0,0.0,0.0,10.593705530893049,3
25,0.0,1.0,1.0,0.0,0.0,0.0,10.80816940588721,3
26,0.0,1.0,0.0,0.0,0.0,0.0,11.366406045281831,3
27,0.0,1.0,1.0,0.0,0.0,0.0,12.748973028379334,3
28,1.0,1.0,1.0,0.0,0.0,0.0,13.275433650391433,3
29,1.0,1.0,0.0,0.0,0.0,0.0,14.194894966671983,3
30,0.0,1.0,0.0,0.0,0.0,0.0,14.234385720867127,3
31,1.0,1.0,0.0,0.0,0.0,0.0,14.376703440559453,3
32,1.0,1.0,0.0,0.0,1.0,0.0,15.247287724578824,3
33,1.0,1.0,0.0,0.0,0.0,0.0,15.83177289310775,3
34,0.0,1.0,0.0,0.0,0.0,0.0,15.957892345965998,3
35,1.0,1.0,0.0,0.0,0.0,0.0,16.173716465003274,3
36,1.0,1.0,0.0,0.0,0.0,1.0,17.0943993357391,3
37,1.0,1.0,0.0,0.0,1.0,1.0,17.10452685488481,3
38,1.0,1.0,0.0,0.0,0.0,1.0,17.19047457392999,3
39,1.0,1.0,0.0,0.0,0.0,0.0,17.47327728416106,3
40,1.0,1.0,0.0,1.0,0.0,0.0,18.036456071471374,3
41,1.0,1.0,1.0,1.0,0.0,0.0,18.56590450055683,3
42,1.0,1.0,1.0,1.0,0.0,1.0,19.998678538935245,3
43,1.0,1.0,1.0,0.0,0.0,1.0,20.5322215609811,3
44,1.0,0.0,1.0,0.0,0.0,1.0,20.820559695578652,3
45,0.0,0.0,1.0,0.0,0.0,1.0,21.100667856344717,3
46,0.0,0.0,1.0,1.0,0.0,1.0,21.461261565047355,3
47,0.0,0.0,1.0,1.0,0.0,0.0,21.611450847508074,3
48,0.0,0.0,0.0,1.0,0.0,0.0,21.946708434157415,3
49,1.0,0.0,0.0,1.0,0.0,0.0,22.08221469800514,3
50,1.0,0.0,0.0,1.0,1.0,0.0,22.406321986308257,3
51,0.0,0.0,0.0,1.0,1.0,0.0,22.801623088637395,3
